Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2019,159005,Corliss HS -CPS,Not Submitted,821 E 103rd St,,0.0,false,PULLMAN,,,,,,,,,,,,,,,,,,41.70649646,-87.60268998,"(41.70649646, -87.60268998)",2019-159005
2020,101716,311 S Wacker,Submitted Data,311 S Wacker,60606,4.0,false,LOOP,Office,1627486,1990,1,,75,68926498.9,,,,,48.1,134.6,50.3,140.9,10757.3,7.5,41.87745822,-87.63573828,"(41.87745822, -87.63573828)",2020-101716
2020,254296,Brompton,Not Submitted,534 552 W Brompton Ave,60657,0.0,false,Lake View,,109140,,,,,,,,,,,,,,,,41.9398563,-87.65846,"(41.9398563, -87.65846)",2020-254296
2019,256568,Vista Tower,Not Submitted,363 E Wacker Dr,,0.0,false,Loop,,,,,,,,,,,,,,,,,,41.886495,-87.618105,"(41.886495, -87.618105)",2019-256568
2014,100730,Congress Center,Submitted,525 W. Van Buren,60607,,,NEAR WEST SIDE,Office,527238,2000,1,,82,27485697,,,,,52,164,50,158,5522,10.47,41.87630749,-87.6401831,"(41.87630749, -87.6401831)",2014-100730
2018,141524,949 W MADISON,Not Submitted,949 W MADISON,60607,0.0,false,NEAR WEST SIDE,,137880,,1,1956,,,,,,,,,,,,,41.87399385,-87.651678,"(41.87399385, -87.651678)",2018-141524
2020,256549,,Exempt,110 W Huron St,60654,,true,Near North Side,,120000,,,,,,,,,,,,,,,,41.89293,-87.63511083,"(41.89293, -87.63511083)",2020-256549
2020,256794,,Exempt,6342 S GREEN ST,60621,,true,Englewood,,50000,,,,,,,,,,,,,,,,41.769845,-87.643155,"(41.769845, -87.643155)",2020-256794
2020,175892,,Exempt,4526  N SHERIDAN RD,60640,,true,UPTOWN,,96960,,,,,,,,,,,,,,,,41.97223008,-87.6645957,"(41.97223008, -87.6645957)",2020-175892
2020,232458,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615,1.0,false,KENWOOD,Multifamily Housing,627680,1974,1,,22,16397682.8,43537490.6,,,,95.5,146,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,"(41.80747487, -87.59126397)",2020-232458
2020,254616,Former Coyne College,Submitted Data,330 N Green St,60607,2.0,false,NEAR WEST SIDE,Office,555524,2019,1,,49,28606427.7,2199940.1,,,,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,"(41.873335, -87.65102071)",2020-254616
2020,103812,400 W Superior St,Submitted Data,400 W Superior St,60654,3.0,false,NEAR NORTH SIDE,Office,130007,1998,1,,61,6489281.3,1493523.2,,,,61.4,151.8,63,154.8,1092.1,8.4,41.89575232,-87.638901,"(41.89575232, -87.638901)",2020-103812
2020,254073,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607,4.0,false,NEAR WEST SIDE,Multifamily Housing,83000,1908,1,,100,1614582.3,825006.6,,,,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,"(41.87429514, -87.65017516)",2020-254073
2020,254385,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621,2.5,false,Englewood,Medical Office,98018,2016,1,,59,4204723.5,2236782.3,,,,96.7,211.9,98,212.8,775,11.6,41.77391183,-87.63872071,"(41.77391183, -87.63872071)",2020-254385
2020,160214,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614,0.0,false,LINCOLN PARK,,257400,,,,,,,,,,,,,,,,41.92548708,-87.64643712,"(41.92548708, -87.64643712)",2020-160214
2020,103745,,Submitted Data,900 North Michigan,60611,,true,NEAR NORTH SIDE,Mixed Use Property,2731896,1989,1,,,123364979.3,29220664.4,,,,71.4,176,74.5,184,20805.5,9.7,41.89920885,-87.62650606,"(41.89920885, -87.62650606)",2020-103745
2020,157607,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616,3.5,false,NEAR SOUTH SIDE,Multifamily Housing,311326,1966,2,,75,4993793,15777294.8,,,,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,"(41.853983, -87.630083)",2020-157607
2020,254329,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605,3.5,false,Loop,Multifamily Housing,199600,1979,1,,58,5821462.7,4643106.7,,,,64.7,131,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,"(41.8682103, -87.62733)",2020-254329
2020,129621,Chalet Living and Rehab,Submitted Data,7350 7352 N SHERIDAN RD,60626,1.0,false,ROGERS PARK,Senior Living Community,77004,1976,1,,7,3786934.1,11175808,,,,223.3,333.4,238,347.3,1184.6,17.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)",2020-129621
2020,250020,Gage Park,Submitted Data,2411 W 55th St,60632,2.0,false,GAGE PARK,Other - Recreation,64960,1926,1,,,847144,6955745.2,,,,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907,"(41.79382847, -87.68432907)",2020-250020
2020,254001,,Submitted Data,4434 4444 N Damen Ave,60625,2.5,false,North Center,Multifamily Housing,53800,2006,1,,51,2985049.6,5693982,,,,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256,"(41.9720897, -87.70256)",2020-254001
2020,251757,"Thorp Scholastic Academy, Ole A -CPS",Submitted Data,6024 W Warwick Ave,60634,4.0,false,DUNNING,K-12 School,93200,1918,1,,61,1246831.5,5832379.9,,,,76,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435,"(41.94895308, -87.77785435)",2020-251757
2020,250165,River East Center Campus,Submitted Data,322 E Illinois St,60611,1.0,false,NEAR NORTH SIDE,Mixed Use Property,1975361,2001,1,,20,64410587.3,102156516.4,,,,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748,"(41.8914469, -87.61889748)",2020-250165
2020,157100,,Submitted Data,1611  W DIVISION ST,60622,4.0,false,WEST TOWN,Multifamily Housing,112734,2013,1,,81,2292017.8,4175204.4,,,,59.4,99.2,59.8,100.2,579.5,5.3,41.90225377,-87.68447845,"(41.90225377, -87.68447845)",2020-157100
2020,101722,500 W Monroe,Submitted Data,500 W Monroe,60661,1.0,false,NEAR WEST SIDE,Office,1554884,1992,1,,29,98139027.4,,,,,85.5,239.3,92.1,257.8,15316.5,13.3,41.880609,-87.639778,"(41.880609, -87.639778)",2020-101722
2020,101815,,Submitted Data,4845 4859 N MAGNOLIA AVE,60640,4.0,false,UPTOWN,Multifamily Housing,50986,1916,1,,75,417741.4,3243596.1,,,,71.8,89.7,76.5,94.7,237.5,4.7,41.97223008,-87.6645957,"(41.97223008, -87.6645957)",2020-101815
2020,251714,Lloyd Elementary -CPS,Submitted Data,2103 N Lamon Ave,60639,2.5,false,BELMONT CRAGIN,K-12 School,150436,1907,1,,32,4506708.5,7731610.1,,,,81.4,137.8,88,144.8,1114,7.4,41.91901757,-87.74788079,"(41.91901757, -87.74788079)",2020-251714
2020,175477,,Submitted Data,1617 1633 W BELMONT AVE,60657,3.0,false,LAKE VIEW,Multifamily Housing,56880,1928,1,,47,652896.4,4629361.5,,,,92.9,117.6,103.1,127.7,347.8,6.1,41.9398511,-87.65844752,"(41.9398511, -87.65844752)",2020-175477
2020,112141,,Submitted Data,3470  N LAKE SHORE DR,60657,3.0,false,LAKE VIEW,Multifamily Housing,155144,1968,1,,67,2550176.6,7203545.7,,,,73.6,111,77.6,115.2,780.6,5.9,41.9398511,-87.65844752,"(41.9398511, -87.65844752)",2020-112141
2020,101910,Michael A. Bilandic Building,Submitted Data,160 N LaSalle St,60601,4.0,false,LOOP,Office,464498,1920,1,,79,13045901.7,12600101.5,,,,55.2,107.1,57.7,109.8,2705.3,5.8,41.88474397,-87.63249596,"(41.88474397, -87.63249596)",2020-101910
2020,159419,"Fifth Praire Shores, LLC",Submitted Data,2801 S King Dr,60616,1.0,false,DOUGLAS,Multifamily Housing,289267,1960,1,,21,4709257.4,32647070.7,,,,129.1,164.1,137.5,172.9,2469,8.5,41.84364282,-87.61673336,"(41.84364282, -87.61673336)",2020-159419
2020,256550,NEMA Chicago,Submitted Data,1200 S Indiana Ave,60605,3.5,false,Near South Side,Multifamily Housing,1343820,2019,1,,60,32621765.2,38781158.3,,,,64.3,118.9,65.2,117.8,7151.1,6.4,41.865858,-87.6195328,"(41.865858, -87.6195328)",2020-256550
2020,255023,Clybourn1200,Submitted Data,454 W DIVISION ST,60610,2.0,false,Near North Side,Multifamily Housing,159968,2017,1,,50,3595190,6327708.9,,,,75.4,126.9,77.9,130.5,897.2,6.8,41.9037676,-87.63983401,"(41.9037676, -87.63983401)",2020-255023
2020,166122,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",Submitted Data,1628 W Washington Blvd,60612,4.0,false,NEAR WEST SIDE,K-12 School,263250,1928,1,,79,4772375,7730980.2,,,,47.5,81.6,49.4,83.6,1155.5,4.4,41.88332,-87.667592,"(41.88332, -87.667592)",2020-166122
2020,119808,McGowan South,Submitted Data,1110 W Belden,60614,1.0,false,LINCOLN PARK,College/University,127900,2008,1,,,9262579.9,12478551.7,,,,170,305.2,175.1,309.5,2108.4,16.5,41.92382673,-87.65658512,"(41.92382673, -87.65658512)",2020-119808
2020,134516,,Submitted Data,321 339 S DESPLAINES ST,60661,2.0,false,NEAR WEST SIDE,Multifamily Housing,178336,1924,1,,43,5499154.7,7444594.3,,,,72.6,130.2,74.9,132.2,1253.7,7,41.88321395,-87.64336601,"(41.88321395, -87.64336601)",2020-134516
2020,254102,Residences at the VIC,Submitted Data,3140 N Sheffield Ave,60657,4.0,false,Lake View,Multifamily Housing,148500,2007,1,,100,1555012.2,2847150,,,,37.4,62.4,38.8,64.1,393.9,3.3,41.9393396,-87.65423,"(41.9393396, -87.65423)",2020-254102
2020,100372,Holy Cross Hospial,Submitted Data,2701 W 68th St,60629,4.0,false,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1911,1,,76,5050093.6,130271002.2,,,,330.1,368.2,,,7707.5,18.8,41.770003,-87.690841,"(41.770003, -87.690841)",2020-100372
2020,113507,LaSalle Terrace Condominium Association,Submitted Data,1540 N LaSalle St,60610,2.5,false,NEAR NORTH SIDE,Multifamily Housing,166700,1976,1,,36,4079885.6,8584849.7,,,,83.9,135.3,87.4,138.8,1092.7,7.2,41.91023785,-87.63363509,"(41.91023785, -87.63363509)",2020-113507
2020,147565,Lakeside Lofts,Submitted Data,2025  S INDIANA AVE,60616,4.0,false,NEAR SOUTH SIDE,Multifamily Housing,101333,2006,1,,89,1761482.5,5144159.1,,,,68.1,102,70.5,104.1,548.1,5.4,41.84550365,-87.63055693,"(41.84550365, -87.63055693)",2020-147565
2020,251889,Smyser -CPS,Submitted Data,4310 N Melvina Ave,60634,4.0,false,PORTAGE PARK,K-12 School,78111,1932,1,,64,1313825.7,3965590.1,,,,67.6,100.4,75.7,109.6,415.7,5.3,41.95925122,-87.78261967,"(41.95925122, -87.78261967)",2020-251889
2020,172640,,Submitted Data,832 890 W 103RD ST,60643,1.5,false,WASHINGTON HEIGHTS,Senior Living Community,65505,2001,1,,36,1807114.6,4835400,,,,101.4,154.8,105.1,157.9,538.9,8.2,41.6981819,-87.66236671,"(41.6981819, -87.66236671)",2020-172640
2020,244613,Fairbanks at Cityfront Plaza,Submitted Data,240 E Illinois St,60611,4.0,false,NEAR NORTH SIDE,Multifamily Housing,819946,2006,1,,70,18128454.4,42229277.5,,,,102,160.6,104.8,163.9,5072.3,8.6,41.89139925,-87.62079715,"(41.89139925, -87.62079715)",2020-244613
2020,104095,Hall Plaza,Not Submitted,4600 4650 W Diversey Ave,60639,0.0,false,HERMOSA,,53267,,,,,,,,,,,,,,,,41.93162302,-87.74252593,"(41.93162302, -87.74252593)",2020-104095
2020,115108,,Not Submitted,3825  N PINE GROVE AVE,60613,0.0,false,LAKE VIEW,,96636,,,,,,,,,,,,,,,,41.95402016,-87.6620278,"(41.95402016, -87.6620278)",2020-115108
2020,165664,DANK Haus German American Cultural Center,Submitted Data,4740 N Western Ave,60625,,true,LINCOLN SQUARE,Mixed Use Property,61042,1927,1,,,556057,3000126.4,,,,58.3,77.1,63.5,82.7,246.1,4,41.96811845,-87.68927436,"(41.96811845, -87.68927436)",2020-165664
2020,159733,,Submitted Data,4827 N SHERIDAN RD,60640,2.0,false,UPTOWN,Multifamily Housing,189225,1967,1,,48,2974779.6,13988381.3,,,,103.4,140.3,109,146.2,1207.3,7.4,41.96968174,-87.6544131,"(41.96968174, -87.6544131)",2020-159733
2020,173476,St. Demetrios Greek Orthodox Church,Submitted Data,2727 W WINONA ST,60625,4.0,false,LINCOLN SQUARE,Worship Facility,68141,1924,1,,67,400830.8,1780584.4,,,,34.5,47.4,41,54.1,157.1,2.5,41.97419798,-87.696868,"(41.97419798, -87.696868)",2020-173476
2020,100533,Englewood Academy HS -CPS,Submitted Data,6201 S Stewart Ave,60621,2.0,false,ENGLEWOOD,K-12 School,188800,1979,1,,21,7213052,12271600.2,,,,103.2,175.2,107.5,179.8,1777.5,9.4,41.78205573,-87.63426731,"(41.78205573, -87.63426731)",2020-100533
2020,105034,Carmen Marine Tenant Chicago Il,Not Submitted,5030 N Marine Dr,60640,0.0,false,UPTOWN,,397000,,,,,,,,,,,,,,,,41.97403176,-87.65193469,"(41.97403176, -87.65193469)",2020-105034
2020,101961,Inland Steel Building,Submitted Data,30 W Monroe,60603,3.0,false,LOOP,Office,311003,1958,1,,63,8659372.7,19525200.4,,,,93.6,148.7,98.4,153.7,2388.5,7.9,41.88108964,-87.62858918,"(41.88108964, -87.62858918)",2020-101961
2020,173857,,Submitted Data,5230 5244 N SHERIDAN RD,60640,2.5,false,EDGEWATER,Multifamily Housing,200000,1920,1,,57,2734994.3,16121333,,,,94.3,122.9,99.8,128.7,1283.1,6.4,41.97223008,-87.6645957,"(41.97223008, -87.6645957)",2020-173857
2020,242563,(IL279) - 212 W Washington Condo,Submitted Data,212 W Washington St,60606,2.0,false,LOOP,Multifamily Housing,344323,1912,1,,47,8344073.4,12464463.5,,,,74.9,131.2,78.1,134.4,1964.3,7.1,41.88326842,-87.63512143,"(41.88326842, -87.63512143)",2020-242563
2020,116752,Ike Sims Village,Submitted Data,3333  W MAYPOLE AVE,60624,1.0,false,EAST GARFIELD PARK,Multifamily Housing,68664,1981,1,,12,3806013.4,2429039.2,,,,90.8,192.3,93.7,198.9,723,10.5,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2020-116752
2020,115046,4200 N Marine Drive,Submitted Data,4200 4212 N MARINE DR,60613,1.5,false,UPTOWN,Multifamily Housing,114400,1957,1,,38,1707115.8,7366474.7,,,,79.3,109.4,84,114.3,657.7,5.7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)",2020-115046
2020,160208,The James Hotel,Submitted Data,55 E Ontario St,60611,2.0,false,NEAR NORTH SIDE,Hotel,72000,2000,1,,26,7092609.8,6564979.8,,,,189.7,371.6,189.7,371.6,1455.6,20.2,41.89325924,-87.62587447,"(41.89325924, -87.62587447)",2020-160208
2020,222943,University Park Condominium Association,Submitted Data,1451 E 55th St,60615,4.0,false,HYDE PARK,Multifamily Housing,579783,1961,2,,85,1287153.1,48472538.7,,,,92.3,101.1,98.9,107.9,2775.5,5.1,41.79535144,-87.59076509,"(41.79535144, -87.59076509)",2020-222943
2020,118892,Parc Chestnut Condominium Association,Submitted Data,849 N Franklin St,60610,2.0,false,NEAR NORTH SIDE,Multifamily Housing,490568,2006,1,,41,11421519.7,19866551.2,,,,82.4,139.2,85.4,141.7,2837.8,7.5,41.897733,-87.635684,"(41.897733, -87.635684)",2020-118892
2020,103962,,Not Submitted,2828  N CAMBRIDGE AVE,60657,0.0,false,LAKE VIEW,,75300,,,,,,,,,,,,,,,,41.9398511,-87.65844752,"(41.9398511, -87.65844752)",2020-103962
