ID,Heating,Cooling,Interior Lighting,Interior Equipment,Fans,Pumps,Water Systems,Generators
M1,7622213,6275857,1361862,2778753,394662,86403,225002,0
M2,7866039,6246153,817123,2778753,390472,87029,225002,0
M3,7777162,6290766,1279468,2778753,394842,87142,225002,0
M4,7734548,6309230,1361862,2778753,396358,87199,225002,0
M5,3706458,6832690,1361862,2778753,397856,66319,225002,0
M6,9061293,7668836,1361862,2778753,528057,108317,225002,0
M7,7737116,6351076,1361862,2778753,400576,87607,225002,0
M8,7352388,5738682,1361862,2778753,359678,79854,225002,0
M9,7548510,6160792,1361862,2778753,383496,85427,225002,0
M10,3354685,13112026,1361862,2778753,910558,776983,225002,0
M11,7825434,6245195,1361862,2232403,390614,86858,225002,0
M12,7741230,6309296,1361862,2778753,396349,87218,225002,-1447729.675
