,u,shgc,leakage,lpd,people,elecCVRSME,chwCVRSME,heatCVRSME,elecNMBE,chwNMBE,heatNMBE
0,1,1,1,1,1,24.60489837,2721.073815,50.01866028,21.87696354,-1831.246733,22.56381759
1,1.05,1,1,1,1,24.60060573,2723.942217,49.5411514,21.87273287,-1832.767848,21.94006108
2,1,1.05,1,1,1,24.34818092,2775.295739,49.02806618,21.56034782,-1870.72458,21.10052861
3,1,1,1.05,1,1,24.59596595,2722.535805,49.96220779,21.8660937,-1832.25332,22.48798235
4,1,1,1,1.05,1,23.31392168,2725.408631,50.0416229,20.31977884,-1834.54975,22.63572902
5,1,1,1,1,1.05,24.53041065,2764.539326,49.52544444,21.78629688,-1858.698306,21.85874641
6,1.02,1.02,1.02,1.02,1.02,23.94963399,2763.660587,49.2239485,21.08619229,-1860.238589,21.44773741
7,1.03,1.03,1.03,1.03,1.03,23.62491081,2784.78898,48.8403555,20.69155613,-1874.626182,20.89451404
8,1.032,1.032,0.962,1.032,1.032,23.57246092,2786.95329,48.83827264,20.62785654,-1876.083754,20.88915557
9,1.048,1.048,0.918,1.048,1.048,23.06838907,2818.810067,48.28360967,20.01101004,-1897.732194,20.06908675
10,0.9812,1.0512,0.9792,1.0512,1.0512,22.95463666,2824.842804,48.70650646,19.8691156,-1902.50455,20.62893725
11,1.02368,1.07168,0.97088,1.07168,1.00168,22.41088409,2805.677523,48.48323014,19.19815594,-1892.800798,20.35212036
12,1.03552,1.10752,0.95632,1.10752,0.97752,21.40655757,2819.495441,48.12647307,17.93733387,-1905.612587,19.8357897
13,1.037888,1.114688,0.953408,1.044688,1.042688,22.86115593,2877.365027,47.32904901,19.74528847,-1940.903461,18.51060158
14,1.0530432,1.0905632,0.9347712,1.1125632,1.0597632,21.23718389,2878.257266,47.4245839,17.72416631,-1940.019846,18.7422821
15,1.0795648,1.1108448,0.9021568,1.1688448,1.0896448,19.77277441,2925.413255,46.76760746,15.82830223,-1971.610785,17.71726766
16,1.04286912,1.14290112,0.85363392,1.13810112,1.05362112,20.44833649,2914.305967,46.98244461,16.70554228,-1967.22033,17.99144661
17,1.116336768,1.158381568,0.854207488,1.151661568,1.033389568,20.10547799,2910.514016,46.46874656,16.26040618,-1965.865283,17.25475868
18,1.076871475,1.205734195,0.889890483,1.196326195,1.030745395,18.90640266,2945.678953,46.30078383,14.65404672,-1992.676537,16.89226495
19,1.091307213,1.284601293,0.875835725,1.270489293,1.022118093,17.01272257,3012.536711,45.46398663,11.94944867,-2043.665828,15.38018745
20,1.10835116,1.207011512,0.823453573,1.289958712,1.027829432,16.87223635,2950.40354,46.24052841,11.75960374,-1996.703204,16.89316645
21,1.139851624,1.253976117,0.767395002,1.300102197,1.113121205,16.42024651,3067.615068,44.82459591,11.0565432,-2073.362431,14.2382638
22,1.192017437,1.327204176,0.672932504,1.396393296,1.180921808,14.407028,3198.12877,43.49829494,7.575067736,-2162.172445,11.36038117
23,1.192161831,1.29231622,0.797800516,1.372837948,1.08794036,14.96201128,3087.46964,44.39860164,8.627341809,-2090.709848,13.47101492
24,1.149024208,1.330409632,0.774664159,1.447748051,1.129992229,13.67552621,3162.463072,43.94304566,6.024365417,-2141.826777,12.39428216
25,1.165367929,1.416423664,0.734892494,1.595791293,1.17829356,12.29027701,3289.879997,42.93852134,0.900915403,-2230.970755,9.86964105
26,1.220117428,1.5,0.659809125,1.601343417,1.109196501,12.26763593,3295.043606,42.70765166,0.452308721,-2244.170573,9.280246739
27,1.290393742,1.5,0.538635287,1.817592725,1.118972352,13.48748008,3321.067409,42.57283534,-6.260063263,-2262.895378,9.081110959
28,1.236037574,1.5,0.673054572,1.604783386,1.203558697,12.25318636,3381.079551,42.11891913,0.175781907,-2295.343804,7.270326201
29,1.299880782,1.5,0.597855072,1.762195723,1.291423329,12.98155678,3473.47218,41.70092165,-4.871219599,-2353.57598,5.582967733
30,1.310973667,1.5,0.539559959,1.757970443,1.281846278,12.93078783,3463.621262,41.72366289,-4.711999507,-2347.343525,5.726042036
