time (hr:mm:ss),O3 (ppb),Elapsed (sec)
15:02:01,16.8,0
15:02:11,16.4,0:00:10
15:02:21,16.7,0:00:10
15:02:31,18.3,0:00:10
15:02:41,20.8,0:00:10
15:02:51,21.6,0:00:10
15:03:01,23.2,0:00:10
15:03:11,24.7,0:00:10
15:03:21,25.0,0:00:10
15:03:31,25.8,0:00:10
15:03:41,27.5,0:00:10
15:03:51,28.9,0:00:10
15:04:01,28.7,0:00:10
15:04:11,30.2,0:00:10
15:04:21,30.4,0:00:10
15:04:31,28.9,0:00:10
15:04:41,30.0,0:00:10
15:04:51,31.0,0:00:10
15:05:01,31.0,0:00:10
15:05:11,33.6,0:00:10
15:05:21,34.7,0:00:10
15:05:31,35.6,0:00:10
15:05:41,37.1,0:00:10
15:05:51,37.6,0:00:10
15:06:01,37.7,0:00:10
15:06:11,37.0,0:00:10
15:06:21,40.2,0:00:10
15:06:31,41.4,0:00:10
15:06:41,39.0,0:00:10
15:06:51,37.9,0:00:10
15:07:01,39.1,0:00:10
15:07:11,41.6,0:00:10
15:07:21,43.1,0:00:10
15:07:31,43.5,0:00:10
15:07:41,43.8,0:00:10
15:07:51,43.9,0:00:10
15:08:01,45.1,0:00:10
15:08:11,46.6,0:00:10
15:08:21,47.5,0:00:10
15:08:31,47.9,0:00:10
15:08:41,46.9,0:00:10
15:08:51,46.4,0:00:10
15:09:01,45.0,0:00:10
15:09:11,43.4,0:00:10
15:09:21,44.7,0:00:10
15:09:31,44.8,0:00:10
15:09:41,42.1,0:00:10
15:09:51,40.2,0:00:10
15:10:01,41.4,0:00:10
15:10:11,40.7,0:00:10
15:10:21,38.9,0:00:10
15:10:31,38.9,0:00:10
15:10:41,38.9,0:00:10
15:10:51,38.0,0:00:10
15:11:01,35.4,0:00:10
15:11:11,35.6,0:00:10
15:11:21,35.8,0:00:10
15:11:31,34.3,0:00:10
15:11:41,32.5,0:00:10
15:11:51,31.3,0:00:10
15:12:01,31.3,0:00:10
15:12:11,29.8,0:00:10
15:12:21,28.0,0:00:10
15:12:31,29.8,0:00:10
15:12:41,29.9,0:00:10
15:12:51,27.7,0:00:10
15:13:01,27.7,0:00:10
15:13:11,27.8,0:00:10
15:13:21,27.1,0:00:10
15:13:31,26.9,0:00:10
15:13:41,26.2,0:00:10
15:13:51,25.2,0:00:10
15:14:01,25.3,0:00:10
15:14:11,24.4,0:00:10
15:14:21,21.5,0:00:10
15:14:31,21.8,0:00:10
15:14:41,22.8,0:00:10
15:14:51,21.0,0:00:10
15:15:01,21.4,0:00:10
15:15:11,22.1,0:00:10
15:15:21,23.3,0:00:10
15:15:31,23.0,0:00:10
15:15:41,21.1,0:00:10
15:15:51,20.9,0:00:10
15:16:01,20.8,0:00:10
15:16:11,18.6,0:00:10
15:16:21,17.4,0:00:10
15:16:31,20.0,0:00:10
15:16:41,20.7,0:00:10
15:16:51,18.4,0:00:10
15:17:01,17.7,0:00:10
15:17:11,18.6,0:00:10
15:17:21,19.0,0:00:10
15:17:31,18.2,0:00:10
15:17:41,17.5,0:00:10
15:17:51,16.5,0:00:10
15:18:01,15.2,0:00:10
15:18:11,16.0,0:00:10
15:18:21,15.2,0:00:10
