Date/Time,A_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),A_ZONE1_OCC:Zone Air Temperature [C](Hourly),A_Delta T,A_MECHAVAILABLE2:Schedule Value [](Hourly),A_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),R_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),R_ZONE1_OCC:Zone Air Temperature [C](Hourly),R_Delta T,R_MECHAVAILABLE2:Schedule Value [](Hourly),R_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),T_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),T_ZONE1:Zone Air Temperature [C](Hourly),T_Delta T,T_MECHAVAILABLE2:Schedule Value [](Hourly),T_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly)
 03/21  19:00:00,13.8125,22,8.1875,1,2807.804407,13.125,22,8.875,1,1874.404748,14.85,21.9607268,7.110726802,1,0
 03/21  20:00:00,12.9,22,9.1,1,3022.434496,12.5875,22,9.4125,1,2118.275573,13.7125,21.95866935,8.246169346,1,0
 03/21  21:00:00,12.35,22,9.65,1,3137.582393,12.15,22,9.85,1,2296.443525,12.8625,21.95629457,9.093794567,1,0
 03/21  22:00:00,12.1375,22,9.8625,1,3216.228922,11.8125,22,10.1875,1,2444.59802,12.2875,21.95462853,9.667128526,1,0
 03/21  23:00:00,11.85,22,10.15,1,3338.074935,11.6375,22,10.3625,1,2585.705983,11.9125,21.95178377,10.03928377,1,1232.677185
 03/21  24:00:00,11.3875,22,10.6125,1,3546.194794,11.35,22,10.65,1,2733.556751,11.2375,21.94931896,10.71181896,1,1399.028901
 03/22  01:00:00,10.825,22,11.175,1,3835.730205,10.825,22,11.175,1,2897.541588,10.4,21.94604983,11.54604983,1,1581.583956
 03/22  02:00:00,10.0375,22,11.9625,1,4083.701985,10.2875,22,11.7125,1,3038.293164,9.5375,21.94253081,12.40503081,1,1725.154316
 03/22  03:00:00,9.2,22,12.8,1,4242.661431,9.7875,22,12.2125,1,3143.956064,8.8875,21.9398198,13.0523198,1,1800.464184
 03/22  04:00:00,8.4625,22,13.5375,1,4387.041734,9.2875,22,12.7125,1,3248.980473,8.3875,21.93775784,13.55025784,1,1856.078017
 03/22  05:00:00,7.6375,22,14.3625,1,4631.529291,8.6625,22,13.3375,1,3397.406706,7.5125,21.93405944,14.42155944,1,1964.457146
 03/22  06:00:00,6.4875,22,15.5125,1,4956.83008,7.775,22,14.225,1,3581.399257,5.975,21.9274928,15.9524928,1,2132.619571
 03/22  07:00:00,5.375,22,16.625,1,5241.469371,6.9,22,15.1,1,3649.425329,4.55,21.92096326,17.37096326,1,2122.250286
 03/22  08:00:00,4.3125,22,17.6875,1,5352.50353,6.0375,22,15.9625,1,3606.498539,3.475,21.91485308,18.43985308,1,1953.288466
 03/22  09:00:00,3.775,22,18.225,1,5130.770565,5.825,22,16.175,1,3406.744873,4.1625,21.91590674,17.75340674,1,1637.116351
 03/22  10:00:00,3.825,22,18.175,1,4479.324902,6.5875,22,15.4125,1,3027.450524,8.175,21.93260695,13.75760695,1,1098.962738
 03/22  11:00:00,4.3375,22,17.6625,1,3727.681417,7.625,22,14.375,1,2488.85353,11.825,21.94757998,10.12257998,1,701.0544922
 03/22  12:00:00,4.9125,22,17.0875,1,3198.479407,8.4375,22,13.5625,1,1993.180052,13.55,21.95310152,8.40310152,1,322.7022995
 03/22  13:00:00,4.9125,22,17.0875,1,2906.72516,8.575,22,13.425,1,1578.10491,12.5625,21.94216515,9.379665146,1,123.2398008
 03/22  14:00:00,4.7375,22,17.2625,1,2597.309594,7.625,22,14.375,1,1152.696776,9.7625,21.94467036,12.18217036,1,7.542400515
 03/22  15:00:00,4.7,22,17.3,1,2263.559848,6.725,22,15.275,1,800.6159187,7.975,22.0405788,14.0655788,1,0
 03/22  16:00:00,4.825,22,17.175,1,2282.704382,6.1875,22,15.8125,1,594.5699531,7.2875,22.07451453,14.78701453,1,0
 03/22  17:00:00,4.9,22,17.1,1,2844.695297,5.75,22,16.25,1,660.5147737,6.1625,21.96373036,15.80123036,1,32.57991029
 03/22  18:00:00,4.65,22,17.35,1,3626.501043,5.2875,22,16.7125,1,1157.60239,4.6,21.90560819,17.30560819,1,430.655171
 03/22  19:00:00,4.125,22,17.875,1,4434.786587,4.6625,22,17.3375,1,2025.071199,3.1875,21.88910586,18.70160586,1,976.3349865
 03/22  20:00:00,3.275,22,18.725,1,5114.93885,3.9625,22,18.0375,1,2829.912971,2.075,21.89047891,19.81547891,1,1429.204329
 03/22  21:00:00,2.65,22,19.35,1,5587.764577,3.5125,22,18.4875,1,3478.38528,1.3875,21.89875271,20.51125271,1,1869.938606
 03/22  22:00:00,2.5625,22,19.4375,1,5837.462542,3.4625,22,18.5375,1,3924.652407,1.2625,21.90284062,20.64034062,1,2174.398788
 03/22  23:00:00,2.6625,22,19.3375,1,5989.30002,3.5,22,18.5,1,4229.151746,1.4875,21.90641247,20.41891247,1,2381.270749
 03/22  24:00:00,2.825,22,19.175,1,6099.819907,3.5,22,18.5,1,4443.221851,1.725,21.90900927,20.18400927,1,2533.854864
 03/23  01:00:00,3.025,22,18.975,1,6181.120038,3.5625,22,18.4375,1,4594.079957,2.05,21.91142781,19.86142781,1,2641.715141
 03/23  02:00:00,3.1,22,18.9,1,6255.690953,3.725,22,18.275,1,4694.541074,2.3875,21.9135367,19.5260367,1,2712.176129
 03/23  03:00:00,3.0375,22,18.9625,1,6326.798561,3.7375,22,18.2625,1,4764.995629,2.3125,21.91359058,19.60109058,1,2783.25733
 03/23  04:00:00,2.9375,22,19.0625,1,6374.104557,3.575,22,18.425,1,4818.629549,2.0125,21.91250561,19.90000561,1,2843.169739
 03/23  05:00:00,2.9625,22,19.0375,1,6378.43276,3.5,22,18.5,1,4849.516281,2.0875,21.91301077,19.82551077,1,2864.009365
 03/23  06:00:00,3.0625,22,18.9375,1,6397.304132,3.625,22,18.375,1,4867.932912,2.5125,21.91498585,19.40248585,1,2859.057882
 03/23  07:00:00,3.225,22,18.775,1,6397.04486,3.825,22,18.175,1,4837.968175,2.95,21.91679769,18.96679769,1,2806.726739
 03/23  08:00:00,3.55,22,18.45,1,6266.307361,4.0875,22,17.9125,1,4687.325248,3.35,21.91772143,18.56772143,1,2614.80691
 03/23  09:00:00,4.075,22,17.925,1,6000.335238,4.5125,22,17.4875,1,4420.828879,4,21.91927013,17.91927013,1,2368.236454
 03/23  10:00:00,4.8625,22,17.1375,1,5474.791508,5.075,22,16.925,1,4029.943558,4.9875,21.92184165,16.93434165,1,2033.217866
 03/23  11:00:00,6.0125,22,15.9875,1,4849.460453,5.9875,22,16.0125,1,3608.317269,6.4625,21.92656344,15.46406344,1,1689.286456
