Date/Time,A_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),A_ZONE1_OCC:Zone Air Temperature [C](Hourly),A_Delta T,A_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),R_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),R_ZONE1_OCC:Zone Air Temperature [C](Hourly),R_Delta T,R_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),T_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),T_ZONE1:Zone Air Temperature [C](Hourly),T_Delta T,T_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly)
 01/27  01:00:00,-7,22,29,9750.418,-7,22,29,7245.281,-7,22,29,3391.658
 01/27  02:00:00,-4,22,26,9110.266,-4,22,26,6858.405,-4,22,26,3257.425
 01/27  03:00:00,-4,22,26,8895.642,-4,22,26,6608.718,-4,22,26,3333.658
 01/27  04:00:00,-4.375,22,26.375,8869.588,-4.375,22,26.375,6509.9,-4.375,22,26.375,3433.428
 01/27  05:00:00,-4.725,22,26.725,8943.331,-4.725,22,26.725,6513.19,-4.725,22,26.725,3528.637
 01/27  06:00:00,-4.925,22,26.925,9045.022,-4.925,22,26.925,6559.323,-4.925,22,26.925,3610.199
 01/27  07:00:00,-5.625,22,27.625,9269.351,-5.625,22,27.625,6670.975,-5.625,22,27.625,3739.986
 01/27  08:00:00,-6,22,28,9432.142,-6,22,28,6733.886,-6,22,28,3665.808
 01/27  09:00:00,-6.625,22,28.625,9268.897,-6.625,22,28.625,6536.883,-6.625,22,28.625,3474.046
 01/27  10:00:00,-7,22,29,8770.242,-7,22,29,6225.489,-7,22,29,3325.488
 01/27  11:00:00,-7,22,29,8340.067,-7,22,29,6089.343,-7,22,29,3193.038
 01/27  12:00:00,-7,22,29,8499.438,-7,22,29,6082.323,-7,22,29,3107.65
 01/27  13:00:00,-7.625,22,29.625,9022.997,-7.625,22,29.625,6128.953,-7.625,22,29.625,3085.09
 01/27  14:00:00,-8,22,30,9293.73,-8,22,30,6036.317,-8,22,30,3045.413
 01/27  15:00:00,-8,22,30,9297.015,-8,22,30,5877.622,-8,22,30,3053.173
