Time,Slab Column 1,Slab Column 2
 03/17  01:00:00,4.339815071,4.386012196
 03/17  02:00:00,3.99119532,4.034815331
 03/17  03:00:00,4.059596878,4.101613805
 03/17  04:00:00,4.172703281,4.215504849
 03/17  05:00:00,4.271426035,4.313573449
 03/17  06:00:00,4.328633574,4.380062477
 03/17  07:00:00,2.528771954,2.582143483
 03/17  08:00:00,-0.288074973,-0.23219825
 03/17  09:00:00,-1.050754399,-0.992680616
 03/17  10:00:00,-1.085075772,-1.025569691
 03/17  11:00:00,-0.028730307,0.031725214
 03/17  12:00:00,-0.103354442,-0.041911996
 03/17  13:00:00,-1.322529347,-1.25964118
 03/17  14:00:00,-3.551968579,-3.486739397
 03/17  15:00:00,-5.433337829,-5.365055575
 03/17  16:00:00,-5.799888572,-5.728321279
 03/17  17:00:00,-5.761235351,-5.680157016
 03/17  18:00:00,-4.401531862,-4.321859404
 03/17  19:00:00,-0.824973808,-0.755188324
 03/17  20:00:00,-0.194442619,-0.116798751
 03/17  21:00:00,0.327582878,0.402251779
 03/17  22:00:00,0.774823442,0.844777076
 03/17  23:00:00,1.133319883,1.199374785
 03/17  24:00:00,1.410143512,1.471819687
 03/18  01:00:00,1.62464132,1.680457582
 03/18  02:00:00,1.797661496,1.843126582
 03/18  03:00:00,1.9832802,1.989053394
 03/18  04:00:00,2.070545175,2.149425443
 03/18  05:00:00,2.084402985,2.147741289
 03/18  06:00:00,2.101879014,2.156618505
 03/18  07:00:00,1.852542524,1.898420593
 03/18  08:00:00,1.366145893,1.40608979
 03/18  09:00:00,0.740206669,0.778000331
 03/18  10:00:00,0.940345326,0.978649202
 03/18  11:00:00,0.6846624,0.699470174
 03/18  12:00:00,-0.6549872,-0.686134122
 03/18  13:00:00,-2.333811982,-2.341794032
 03/18  14:00:00,-4.436289581,-4.416655007
 03/18  15:00:00,-5.703394588,-5.661463303
 03/18  16:00:00,-4.745607143,-5.165304946
 03/18  17:00:00,-4.754521991,-4.626573782
 03/18  18:00:00,-3.816380023,-3.698878829
 03/18  19:00:00,-2.780625598,-2.662237879
 03/18  20:00:00,-2.381685706,-2.257436592
 03/18  21:00:00,-1.88902595,-1.753222176
 03/18  22:00:00,-1.299978529,-1.127222242
 03/18  23:00:00,-0.60573353,-0.490645323
 03/18  24:00:00,-0.174590372,-0.067647108
 03/19  01:00:00,0.17628829,0.276683332
 03/19  02:00:00,0.477696217,0.571087203
 03/19  03:00:00,0.73831707,0.826880788
 03/19  04:00:00,0.955415904,1.039817115
 03/19  05:00:00,1.133323367,1.214885165
 03/19  06:00:00,1.279546844,1.358847914
 03/19  07:00:00,0.926749174,1.004018766
 03/19  08:00:00,-0.67506018,-0.59880087
 03/19  09:00:00,-1.673779374,-1.595175523
 03/19  10:00:00,-1.970254059,-1.887869311
 03/19  11:00:00,-1.595119722,-1.512945672
 03/19  12:00:00,-1.127329582,-1.049556797
 03/19  13:00:00,-0.642733939,-0.568314128
 03/19  14:00:00,-0.625163367,-0.553031732
 03/19  15:00:00,-0.849762804,-0.77815261
 03/19  16:00:00,-0.700525704,-0.629562792
 03/19  17:00:00,-0.479185507,-0.409060193
 03/19  18:00:00,-0.172554885,-0.103264265
 03/19  19:00:00,0.203528638,0.271850848
 03/19  20:00:00,0.410176268,0.477558499
 03/19  21:00:00,0.60136644,0.667878426
 03/19  22:00:00,0.778956807,0.844712662
 03/19  23:00:00,0.930796274,0.995816018
 03/19  24:00:00,1.06667497,1.130922173
 03/20  01:00:00,1.188294825,1.251747883
 03/20  02:00:00,1.292925508,1.355565116
