Time,Slab Unins,Slab Insulated
 01/01  01:00:00,10.99908951,12.21577643
 01/01  02:00:00,8.924685804,9.725370881
 01/01  03:00:00,8.697393577,9.450241442
 01/01  04:00:00,8.799530362,9.487503393
 01/01  05:00:00,8.877090022,9.465931698
 01/01  06:00:00,9.006380875,9.484516548
 01/01  07:00:00,9.201165679,9.555854467
 01/01  08:00:00,9.149283434,9.366075854
 01/01  09:00:00,8.801204162,9.014532366
 01/01  10:00:00,8.327096523,8.466844132
 01/01  11:00:00,7.777290377,7.724390512
 01/01  12:00:00,7.272772037,7.109045704
 01/01  13:00:00,6.685284853,6.337166316
 01/01  14:00:00,6.048720899,5.592950034
 01/01  15:00:00,5.716429952,5.089676142
 01/01  16:00:00,5.512453083,4.793511538
 01/01  17:00:00,5.385740889,4.578960093
 01/01  18:00:00,5.33568399,4.444600227
 01/01  19:00:00,5.322746394,4.368496603
 01/01  20:00:00,5.189870667,4.154165458
 01/01  21:00:00,5.045940189,3.935867312
 01/01  22:00:00,4.91004039,3.722536772
 01/01  23:00:00,4.775632743,3.516059068
 01/01  24:00:00,4.648826851,3.321391762
 01/02  01:00:00,4.535545877,3.143726537
 01/02  02:00:00,4.429011722,2.976824516
 01/02  03:00:00,4.322742131,2.812882381
 01/02  04:00:00,4.228236413,2.664667106
 01/02  05:00:00,4.144840768,2.532376724
 01/02  06:00:00,4.072080754,2.412840337
 01/02  07:00:00,4.016345832,2.313044202
 01/02  08:00:00,3.979351016,2.231603618
 01/02  09:00:00,3.873844326,2.060121604
 01/02  10:00:00,3.220657208,1.404764589
 01/02  11:00:00,2.393039756,0.566014845
 01/02  12:00:00,2.509833435,0.685309705
 01/02  13:00:00,2.429163464,0.658196334
 01/02  14:00:00,2.199218454,0.517926577
 01/02  15:00:00,2.044722351,0.450793585
 01/02  16:00:00,1.972852064,0.403693906
 01/02  17:00:00,1.914157669,0.376094313
 01/02  18:00:00,1.836382261,0.326519658
 01/02  19:00:00,1.716040517,0.251980728
 01/02  20:00:00,1.627567125,0.194590845
 01/02  21:00:00,1.54280456,0.143976995
 01/02  22:00:00,1.476767687,0.108211253
 01/02  23:00:00,1.47824217,0.11216835
