,,,,,,,,,,,direct,speed,0.27777778,
12:53 AM,-1 °C,-5 °C,75 %,270.00,9.00,9.00,0 km/h,996.33 hPa,0.0 mm,Fair,270,2.5,,"N,""NNE"",""NE"",""ENE"",""E"",""ESE"",""SE"",""SSE"",""S"",""SSW"",""SW"",""WSW"",""W"",""WNW"",""NW"",""NNW"""
1:53 AM,-1 °C,-6 °C,72 %,270.00,6.00,6.00,0 km/h,996.99 hPa,0.0 mm,Fair,270,1.7,,",{0,22.5,45,67.5,90,112.5,135,157.5,180,202.5,225,247.5,270,292.5,315,337.5})"
2:53 AM,-1 °C,-6 °C,69 %,0.00,0.00,0.00,0 km/h,996.99 hPa,0.0 mm,Fair,0,0.0,,NNE
3:53 AM,-2 °C,-6 °C,75 %,0.00,0.00,0.00,0 km/h,996.99 hPa,0.0 mm,Fair,0,0.0,,NE
4:53 AM,-2 °C,-6 °C,75 %,225.00,9.00,9.00,0 km/h,997.32 hPa,0.0 mm,Fair,225,2.5,,ENE
5:53 AM,-2 °C,-6 °C,78 %,225.00,6 ,6.00,0 km/h,997.65 hPa,0.0 mm,Fair,225,1.7,,E
6:53 AM,-2 °C,-5 °C,78 %,225.00,6 ,6.00,0 km/h,997.98 hPa,0.0 mm,Fair,225,1.7,,ESE
7:53 AM,-1 °C,-4 °C,82 %,247.50,6 ,6.00,0 km/h,998.97 hPa,0.0 mm,Fair,247.5,1.7,,SE
8:53 AM,2 °C,-4 °C,67 %,202.50,7 ,7.00,0 km/h,999.64 hPa,0.0 mm,Fair,202.5,1.9,,SSE
9:53 AM,4 °C,-6 °C,49 %,180.00,17 ,17.00,33 km/h,999.64 hPa,0.0 mm,Partly Cloudy,180,4.7,,
10:53 AM,6 °C,-6 °C,42 %,180.00,19 ,19.00,31 km/h,998.64 hPa,0.0 mm,Mostly Cloudy,180,5.3,,
11:53 AM,7 °C,-6 °C,42 %,180.00,22 ,22.00,37 km/h,997.65 hPa,0.0 mm,Mostly Cloudy,180,6.1,,
12:53 PM,7 °C,-5 °C,42 %,180.00,37 ,37.00,56 km/h,996.99 hPa,0.0 mm,Mostly Cloudy / Windy,180,10.3,,
1:53 PM,9 °C,-3 °C,41 %,180.00,39 ,39.00,52 km/h,995.33 hPa,0.0 mm,Fair / Windy,180,10.8,,
2:53 PM,11 °C,-3 °C,39 %,180.00,35 ,35.00,56 km/h,993.68 hPa,0.0 mm,Fair / Windy,180,9.7,,
3:53 PM,12 °C,-3 °C,37 %,180.00,35 ,35.00,61 km/h,992.35 hPa,0.0 mm,Fair / Windy,180,9.7,,
4:53 PM,12 °C,-4 °C,33 %,180.00,39 ,39.00,61 km/h,990.70 hPa,0.0 mm,Fair / Windy,180,10.8,,
5:53 PM,12 °C,-2 °C,38 %,180.00,39 ,39.00,59 km/h,990.03 hPa,0.0 mm,Fair / Windy,180,10.8,,
6:53 PM,11 °C,-2 °C,43 %,202.50,41 ,41.00,61 km/h,990.70 hPa,0.0 mm,Fair / Windy,202.5,11.4,,
7:53 PM,10 °C,-1 °C,46 %,180.00,22 ,22.00,0 km/h,991.03 hPa,0.0 mm,Fair,180,6.1,,
8:53 PM,9 °C,-1 °C,48 %,180.00,30 ,30.00,46 km/h,991.03 hPa,0.0 mm,Fair,180,8.3,,
9:53 PM,9 °C,-1 °C,50 %,180.00,26 ,26.00,44 km/h,991.03 hPa,0.0 mm,Fair,180,7.2,,
10:53 PM,9 °C,-1 °C,52 %,180.00,24 ,24.00,41 km/h,991.03 hPa,0.0 mm,Fair,180,6.7,,
11:53 PM,9 °C,-1 °C,50 %,202.50,31 ,31.00,46 km/h,990.37 hPa,0.0 mm,Fair,202.5,8.6,,
12:53 AM,9 °C,-1 °C,50 %,202.50,26 ,26.00,41 km/h,989.70 hPa,0.0 mm,Partly Cloudy,202.5,7.2,,
1:53 AM,8 °C,-1 °C,54 %,202.50,22 ,22.00,35 km/h,989.70 hPa,0.0 mm,Mostly Cloudy,202.5,6.1,,
2:53 AM,9 °C,0 °C,54 %,202.50,28 ,28.00,39 km/h,988.71 hPa,0.0 mm,Cloudy,202.5,7.8,,
3:53 AM,9 °C,1 °C,56 %,202.50,24 ,24.00,0 km/h,988.38 hPa,0.0 mm,Mostly Cloudy,202.5,6.7,,
4:53 AM,9 °C,1 °C,56 %,202.50,20 ,20.00,35 km/h,988.38 hPa,0.0 mm,Partly Cloudy,202.5,5.6,,
5:53 AM,8 °C,1 °C,59 %,202.50,19 ,19.00,35 km/h,988.38 hPa,0.0 mm,Partly Cloudy,202.5,5.3,,
6:53 AM,8 °C,1 °C,61 %,202.50,15 ,15.00,33 km/h,988.71 hPa,0.0 mm,Partly Cloudy,202.5,4.2,,
7:53 AM,8 °C,1 °C,63 %,202.50,15 ,15.00,0 km/h,988.05 hPa,0.0 mm,Mostly Cloudy,202.5,4.2,,
8:53 AM,9 °C,1 °C,58 %,180.00,19 ,19.00,0 km/h,987.39 hPa,0.0 mm,Cloudy,180,5.3,,
9:53 AM,10 °C,2 °C,57 %,180.00,17 ,17.00,39 km/h,987.39 hPa,0.0 mm,Cloudy,180,4.7,,
10:53 AM,12 °C,2 °C,51 %,180.00,20 ,20.00,0 km/h,987.05 hPa,0.0 mm,Cloudy,180,5.6,,
11:53 AM,15 °C,3 °C,44 %,202.50,22 ,22.00,0 km/h,985.73 hPa,0.0 mm,Cloudy,202.5,6.1,,
12:53 PM,17 °C,4 °C,41 %,180.00,24 ,24.00,43 km/h,984.41 hPa,0.0 mm,Cloudy,180,6.7,,
1:53 PM,19 °C,4 °C,37 %,180.00,24 ,24.00,44 km/h,983.08 hPa,0.0 mm,Cloudy,180,6.7,,
2:53 PM,22 °C,5 °C,34 %,180.00,33 ,33.00,46 km/h,981.43 hPa,0.0 mm,Cloudy / Windy,180,9.2,,
3:53 PM,22 °C,6 °C,35 %,180.00,33 ,33.00,52 km/h,980.43 hPa,0.0 mm,Cloudy / Windy,180,9.2,,
4:53 PM,23 °C,6 °C,34 %,180.00,22 ,22.00,56 km/h,979.44 hPa,0.0 mm,Cloudy,180,6.1,,
5:53 PM,22 °C,7 °C,37 %,202.50,31 ,31.00,52 km/h,979.44 hPa,0.0 mm,Mostly Cloudy,202.5,8.6,,
6:53 PM,21 °C,7 °C,39 %,202.50,13 ,13.00,43 km/h,979.77 hPa,0.0 mm,Cloudy,202.5,3.6,,
7:53 PM,21 °C,7 °C,41 %,180.00,15 ,15.00,0 km/h,980.10 hPa,0.0 mm,Cloudy,180,4.2,,
8:53 PM,19 °C,7 °C,45 %,180.00,9 ,9.00,0 km/h,980.10 hPa,0.0 mm,Cloudy,180,2.5,,
9:53 PM,18 °C,7 °C,48 %,0.00,0 ,0.00,0 km/h,980.43 hPa,0.0 mm,Cloudy,0,0.0,,
10:53 PM,11 °C,3 °C,61 %,0.00,9 ,9.00,0 km/h,980.76 hPa,0.0 mm,Cloudy,0,2.5,,
11:53 PM,9 °C,3 °C,64 %,0.00,9 ,9.00,0 km/h,980.76 hPa,0.0 mm,Cloudy,0,2.5,,
12:53 AM,9 °C,3 °C,64 %,0.00,7 ,7.00,0 km/h,980.76 hPa,0.0 mm,Cloudy,0,1.9,,
1:53 AM,9 °C,3 °C,66 %,0.00,7 ,7.00,0 km/h,980.76 hPa,0.0 mm,Cloudy,0,1.9,,
2:53 AM,8 °C,3 °C,68 %,45.00,13 ,13.00,0 km/h,980.10 hPa,0.0 mm,Cloudy,45,3.6,,
3:53 AM,8 °C,3 °C,71 %,45.00,11 ,11.00,0 km/h,980.10 hPa,0.0 mm,Cloudy,45,3.1,,
4:53 AM,6 °C,2 °C,76 %,22.50,11 ,11.00,0 km/h,980.10 hPa,0.0 mm,Partly Cloudy,22.5,3.1,,
5:53 AM,6 °C,2 °C,76 %,0.00,11 ,11.00,0 km/h,980.10 hPa,0.0 mm,Fair,0,3.1,,
6:53 AM,6 °C,2 °C,76 %,45.00,9 ,9.00,0 km/h,980.10 hPa,0.0 mm,Fair,45,2.5,,
7:53 AM,7 °C,3 °C,79 %,90.00,7 ,7.00,0 km/h,980.10 hPa,0.0 mm,Fair,90,1.9,,
8:53 AM,8 °C,3 °C,73 %,22.50,15 ,15.00,0 km/h,979.44 hPa,0.0 mm,Fair,22.5,4.2,,
9:53 AM,9 °C,3 °C,66 %,22.50,15 ,15.00,0 km/h,979.11 hPa,0.0 mm,Mostly Cloudy,22.5,4.2,,
10:53 AM,9 °C,3 °C,64 %,22.50,19 ,19.00,0 km/h,978.78 hPa,0.0 mm,Mostly Cloudy,22.5,5.3,,
11:53 AM,8 °C,2 °C,66 %,0.00,19 ,19.00,0 km/h,978.45 hPa,0.0 mm,Cloudy,0,5.3,,
12:53 PM,6 °C,2 °C,76 %,45.00,15 ,15.00,0 km/h,977.78 hPa,0.3 mm,Light Rain,45,4.2,,
1:29 PM,6 °C,3 °C,82 %,22.50,17 ,17.00,0 km/h,977.45 hPa,1.3 mm,Light Rain with Thunder,22.5,4.7,,
1:32 PM,6 °C,3 °C,82 %,22.50,15 ,15.00,0 km/h,977.45 hPa,2.0 mm,T-Storm,22.5,4.2,,
1:46 PM,6 °C,3 °C,82 %,67.50,30 ,30.00,0 km/h,974.47 hPa,2.8 mm,Light Rain with Thunder,67.5,8.3,,
1:53 PM,6 °C,4 °C,86 %,67.50,15 ,15.00,0 km/h,974.47 hPa,2.8 mm,Light Rain with Thunder,67.5,4.2,,
2:14 PM,7 °C,6 °C,93 %,45.00,11 ,11.00,0 km/h,974.80 hPa,0.0 mm,Cloudy,45,3.1,,
2:35 PM,6 °C,5 °C,93 %,0.00,13 ,13.00,0 km/h,976.13 hPa,0.0 mm,Thunder,0,3.6,,
2:45 PM,6 °C,5 °C,93 %,45.00,17 ,17.00,0 km/h,975.47 hPa,2.3 mm,Light Rain with Thunder,45,4.7,,
2:47 PM,6 °C,5 °C,93 %,45.00,19 ,19.00,0 km/h,975.47 hPa,2.8 mm,Light Rain with Thunder,45,5.3,,
2:53 PM,6 °C,5 °C,96 %,67.50,19 ,19.00,0 km/h,975.13 hPa,3.6 mm,Light Rain with Thunder,67.5,5.3,,
3:07 PM,6 °C,4 °C,92 %,45.00,15 ,15.00,0 km/h,975.13 hPa,0.5 mm,Light Rain,45,4.2,,
3:25 PM,6 °C,5 °C,93 %,45.00,13 ,13.00,0 km/h,974.47 hPa,2.0 mm,Light Rain,45,3.6,,
3:53 PM,7 °C,6 °C,93 %,67.50,26 ,26.00,39 km/h,971.82 hPa,2.5 mm,Light Rain,67.5,7.2,,
4:51 PM,7 °C,6 °C,93 %,22.50,15 ,15.00,0 km/h,972.15 hPa,0.0 mm,Cloudy,22.5,4.2,,
4:53 PM,7 °C,6 °C,96 %,22.50,19 ,19.00,0 km/h,971.82 hPa,0.0 mm,Cloudy,22.5,5.3,,
5:04 PM,6 °C,6 °C,97 %,22.50,24 ,24.00,0 km/h,971.16 hPa,0.0 mm,Thunder,22.5,6.7,,
5:38 PM,6 °C,5 °C,96 %,315.00,9 ,9.00,0 km/h,972.82 hPa,5.1 mm,T-Storm,315,2.5,,
5:45 PM,6 °C,6 °C,100 %,315.00,9 ,9.00,0 km/h,973.15 hPa,5.3 mm,Light Rain with Thunder,315,2.5,,
5:53 PM,6 °C,6 °C,100 %,292.50,11 ,11.00,0 km/h,973.48 hPa,5.6 mm,Light Rain with Thunder,292.5,3.1,,
6:10 PM,7 °C,6 °C,96 %,292.50,11 ,11.00,0 km/h,974.47 hPa,0.8 mm,Light Rain with Thunder,292.5,3.1,,
6:18 PM,7 °C,6 °C,90 %,315.00,22 ,22.00,28 km/h,974.14 hPa,1.0 mm,Light Rain,315,6.1,,
6:53 PM,6 °C,5 °C,93 %,0.00,26 ,26.00,50 km/h,973.15 hPa,1.5 mm,Cloudy,0,7.2,,
7:53 PM,6 °C,3 °C,82 %,22.50,24 ,24.00,0 km/h,973.15 hPa,0.0 mm,Mostly Cloudy,22.5,6.7,,
8:42 PM,5 °C,2 °C,79 %,0.00,24 ,24.00,39 km/h,975.80 hPa,0.0 mm,Cloudy,0,6.7,,
8:53 PM,5 °C,2 °C,79 %,22.50,20 ,20.00,0 km/h,976.46 hPa,0.0 mm,Cloudy,22.5,5.6,,
9:53 PM,4 °C,1 °C,82 %,0.00,31 ,31.00,43 km/h,976.79 hPa,0.0 mm,Light Drizzle,0,8.6,,
10:53 PM,3 °C,1 °C,83 %,0.00,43 ,43.00,56 km/h,976.79 hPa,0.0 mm,Light Rain / Windy,0,11.9,,
11:53 PM,3 °C,0 °C,82 %,0.00,43 ,43.00,63 km/h,976.46 hPa,0.0 mm,Light Rain / Windy,0,11.9,,
12:53 AM,3 °C,0 °C,82 %,22.50,41 ,41.00,56 km/h,975.80 hPa,0.0 mm,Cloudy / Windy,22.5,11.4,,
1:53 AM,3 °C,-1 °C,76 %,0.00,33 ,33.00,57 km/h,977.45 hPa,0.0 mm,Wintry Mix / Windy,0,9.2,,
2:16 AM,2 °C,-1 °C,82 %,0.00,26 ,26.00,41 km/h,978.11 hPa,0.5 mm,Wintry Mix,0,7.2,,
2:26 AM,2 °C,-1 °C,85 %,0.00,17 ,17.00,39 km/h,978.11 hPa,0.8 mm,Wintry Mix,0,4.7,,
2:31 AM,2 °C,-1 °C,85 %,0.00,15 ,15.00,0 km/h,978.11 hPa,1.0 mm,Wintry Mix,0,4.2,,
2:53 AM,1 °C,-1 °C,89 %,315.00,13 ,13.00,0 km/h,978.45 hPa,2.0 mm,Wintry Mix,315,3.6,,
3:42 AM,1 °C,-1 °C,89 %,337.50,17 ,17.00,0 km/h,979.77 hPa,1.3 mm,Light Snow,337.5,4.7,,
3:53 AM,1 °C,-1 °C,89 %,337.50,13 ,13.00,0 km/h,980.10 hPa,1.3 mm,Light Snow,337.5,3.6,,
4:30 AM,1 °C,-1 °C,89 %,315.00,15 ,15.00,0 km/h,980.76 hPa,0.5 mm,Light Snow,315,4.2,,
4:53 AM,1 °C,-1 °C,89 %,315.00,19 ,19.00,0 km/h,981.09 hPa,0.8 mm,Light Snow,315,5.3,,
5:15 AM,1 °C,-1 °C,89 %,315.00,26 ,26.00,37 km/h,981.43 hPa,0.0 mm,Light Snow,315,7.2,,
5:53 AM,1 °C,-1 °C,89 %,315.00,24 ,24.00,39 km/h,982.42 hPa,0.0 mm,Light Snow,315,6.7,,
6:53 AM,1 °C,-2 °C,85 %,315.00,30 ,30.00,0 km/h,983.74 hPa,0.0 mm,Light Snow,315,8.3,,
7:31 AM,0 °C,-2 °C,85 %,315.00,33 ,33.00,59 km/h,984.74 hPa,0.0 mm,Light Snow / Windy,315,9.2,,
7:46 AM,0 °C,-3 °C,82 %,337.50,31 ,31.00,43 km/h,985.07 hPa,0.0 mm,Light Snow,337.5,8.6,,
7:53 AM,0 °C,-3 °C,82 %,337.50,33 ,33.00,44 km/h,985.07 hPa,0.0 mm,Light Snow / Windy,337.5,9.2,,
8:06 AM,0 °C,-3 °C,82 %,315.00,28 ,28.00,0 km/h,985.40 hPa,0.0 mm,Light Snow,315,7.8,,
8:51 AM,1 °C,-3 °C,75 %,337.50,41 ,41.00,52 km/h,986.39 hPa,0.0 mm,Light Snow / Windy,337.5,11.4,,
8:53 AM,0 °C,-3 °C,79 %,337.50,35 ,35.00,52 km/h,986.39 hPa,0.0 mm,Cloudy / Windy,337.5,9.7,,
9:53 AM,1 °C,-5 °C,64 %,315.00,30 ,30.00,50 km/h,988.05 hPa,0.0 mm,Partly Cloudy,315,8.3,,
10:53 AM,2 °C,-4 °C,62 %,337.50,30 ,30.00,48 km/h,989.04 hPa,0.0 mm,Mostly Cloudy,337.5,8.3,,
11:53 AM,3 °C,-5 °C,55 %,337.50,30 ,30.00,44 km/h,990.03 hPa,0.0 mm,Mostly Cloudy,337.5,8.3,,
12:53 PM,4 °C,-5 °C,51 %,315.00,22 ,22.00,39 km/h,990.70 hPa,0.0 mm,Mostly Cloudy,315,6.1,,
1:53 PM,5 °C,-4 °C,51 %,315.00,24 ,24.00,41 km/h,991.03 hPa,0.0 mm,Partly Cloudy,315,6.7,,
2:53 PM,7 °C,-5 °C,43 %,337.50,28 ,28.00,43 km/h,991.36 hPa,0.0 mm,Partly Cloudy,337.5,7.8,,
3:53 PM,7 °C,-6 °C,40 %,292.50,19 ,19.00,0 km/h,991.69 hPa,0.0 mm,Partly Cloudy,292.5,5.3,,
4:53 PM,7 °C,-7 °C,37 %,270.00,17 ,17.00,31 km/h,992.02 hPa,0.0 mm,Fair,270,4.7,,
5:53 PM,7 °C,-8 °C,35 %,292.50,22 ,22.00,35 km/h,992.68 hPa,0.0 mm,Fair,292.5,6.1,,
6:53 PM,4 °C,-3 °C,60 %,90.00,15 ,15.00,0 km/h,993.35 hPa,0.0 mm,Fair,90,4.2,,
7:53 PM,3 °C,-3 °C,65 %,90.00,11 ,11.00,0 km/h,994.01 hPa,0.0 mm,Fair,90,3.1,,
8:53 PM,2 °C,-3 °C,67 %,135.00,9 ,9.00,0 km/h,994.34 hPa,0.0 mm,Fair,135,2.5,,
9:53 PM,2 °C,-3 °C,67 %,135.00,9 ,9.00,0 km/h,994.01 hPa,0.0 mm,Partly Cloudy,135,2.5,,
10:53 PM,2 °C,-3 °C,70 %,157.50,7 ,7.00,0 km/h,994.01 hPa,0.0 mm,Partly Cloudy,157.5,1.9,,
11:53 PM,1 °C,-3 °C,73 %,180.00,9 ,9.00,0 km/h,994.01 hPa,0.0 mm,Fair,180,2.5,,
12:53 AM,1 °C,-3 °C,73 %,180.00,9 ,9.00,0 km/h,994.01 hPa,0.0 mm,Fair,180,2.5,,
1:53 AM,1 °C,-4 °C,72 %,202.50,9 ,9.00,0 km/h,993.35 hPa,0.0 mm,Fair,202.5,2.5,,
2:53 AM,0 °C,-4 °C,73 %,202.50,9 ,9.00,0 km/h,992.35 hPa,0.0 mm,Fair,202.5,2.5,,
3:53 AM,0 °C,-5 °C,69 %,202.50,11 ,11.00,0 km/h,992.02 hPa,0.0 mm,Fair,202.5,3.1,,
4:53 AM,0 °C,-5 °C,69 %,180.00,11 ,11.00,0 km/h,991.36 hPa,0.0 mm,Fair,180,3.1,,
