,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
1,10-Feb,Chicago-MDW,Heating,0.471152744,0.508519874,0.629593659,1.285416667,-1.395572917,-2.388541667,1101.25,9.875,1278.73
3,10-Feb,Chicago-MDW,Heating,0.334392902,0.369925202,0.493974455,1.285416667,-1.395572917,-2.388541667,1101.25,9.875,677.03
5,10-Feb,Chicago-MDW,Heating,0.167386144,0.186991019,0.284034885,1.285416667,-1.395572917,-2.388541667,1101.25,9.875,318.99
7,10-Feb,Chicago-MDW,Heating,0.261537552,0.291098638,0.404668907,1.285416667,-1.395572917,-2.388541667,1101.25,9.875,14.58
9,10-Feb,Chicago-MDW,Heating,0.112575627,0.122900468,0.19541258,1.285416667,-1.395572917,-2.388541667,1101.25,9.875,0
11,10-Jan,Chicago-MDW,Heating,0.458311031,0.505099593,0.618616014,0.807291667,1.095833333,-1.401488095,2111.125,7.375,1278.73
13,10-Jan,Chicago-MDW,Heating,0.326838505,0.369537089,0.482948723,0.807291667,1.095833333,-1.401488095,2111.125,7.375,677.03
15,10-Jan,Chicago-MDW,Heating,0.166424122,0.189318609,0.273691156,0.807291667,1.095833333,-1.401488095,2111.125,7.375,318.99
17,10-Jan,Chicago-MDW,Heating,0.253762634,0.28756995,0.391374611,0.807291667,1.095833333,-1.401488095,2111.125,7.375,14.58
19,10-Jan,Chicago-MDW,Heating,0.112176549,0.125054964,0.184987881,0.807291667,1.095833333,-1.401488095,2111.125,7.375,0
21,10-Mar,Chicago-MDW,Heating,0.394157756,0.445863097,0.441569363,10.47552083,12.07864583,12.27395833,7883.25,0,1278.73
23,10-Mar,Chicago-MDW,Heating,0.252006442,0.287103108,0.276762995,10.47552083,12.07864583,12.27395833,7883.25,0,677.03
