,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],Total ADORB Cost [$],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
0,ChicagoIL_BASE_NV,997.99,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,50.85,4496.86,5.954346272395319,3.993913808833019,148027.18771951305,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35294.23101337478,4475.250000000001,9441.911728977153
1,ChicagoIL_Base Elec_NV,996.52,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,38.99,19938.21,5.954346272395319,3.993913808833019,214960.06566164372,2543.372897239006,0.0,40631.54,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,2381.74,95372.97199601497,51756.8765935246,14360.516111642486,11606.085270000001,41863.615690461695
2,ChicagoIL_DOE Envelope_NV,541.82,49.3,2,-25.0,-32.075,39.625,24.25,66.0,57.75,0.0,0.0,27.61,13088.85,5.126827138512698,3.4154730929288224,171397.63722584047,1746.2970638761349,0.0,46032.91,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,65483.72877236444,57052.337377838325,8825.309692003557,12554.025705000002,27482.235678634122
3,ChicagoIL_IECC_Elec_NV,372.35,21.78,2,-25.0,-32.075,39.625,24.25,72.5,49.5,0.0,0.0,25.06,11934.58,5.126827138512698,3.4154730929288224,166247.97998127452,1571.1367145327663,0.0,50450.13,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,58915.45751694912,61382.94522097558,7561.677194921173,13329.247815,25058.652233428693
4,ChicagoIL_IECC+0.04_Elec_NV,2.88,0.0,3,-25.0,-32.075,39.625,24.25,54.75,59.25,6.5,0.0,16.96,5649.65,5.126827138512698,3.4154730929288224,132387.39149101556,1014.9477880541713,0.0,54110.29,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,38059.14070743967,64971.337377838325,3522.919844762669,13971.605895,11862.387665974873
5,ChicagoIL_Phius Precriptive_NV,0.0,0.0,3,-25.0,-32.075,39.625,24.25,59.25,60.75,0.0,0.0,13.82,3682.4,5.126827138512698,3.4154730929288224,131174.7589641288,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1800.825835159485,15862.048020000002,7731.816367595495
6,ChicagoIL_BASE_SchNV,997.99,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,50.85,4496.86,5.954346272395319,3.993913808833019,148027.18771951305,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35294.23101337478,4475.250000000001,9441.911728977153
7,ChicagoIL_Base Elec_SchNV,996.52,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,38.99,19938.21,5.954346272395319,3.993913808833019,214960.06566164372,2543.372897239006,0.0,40631.54,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,2381.74,95372.97199601497,51756.8765935246,14360.516111642486,11606.085270000001,41863.615690461695
8,ChicagoIL_DOE Envelope_SchNV,541.82,49.3,2,-25.0,-32.075,39.625,24.25,66.0,57.75,0.0,0.0,27.66,13096.12,5.126827138512698,3.4154730929288224,171535.7380622607,1749.5728178771294,0.0,46032.91,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,65606.56502454824,57052.337377838325,8825.309692003557,12554.025705000002,27497.5002628706
9,ChicagoIL_IECC_Elec_SchNV,372.35,21.78,2,-25.0,-32.075,39.625,24.25,72.5,49.5,0.0,0.0,25.06,11934.58,5.126827138512698,3.4154730929288224,166247.97998127452,1571.1367145327663,0.0,50450.13,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,58915.45751694912,61382.94522097558,7561.677194921173,13329.247815,25058.652233428693
10,ChicagoIL_IECC+0.04_Elec_SchNV,2.88,0.0,3,-25.0,-32.075,39.625,24.25,54.75,59.25,6.5,0.0,16.96,5649.65,5.126827138512698,3.4154730929288224,132387.39149101556,1014.9477880541713,0.0,54110.29,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,38059.14070743967,64971.337377838325,3522.919844762669,13971.605895,11862.387665974873
11,ChicagoIL_Phius Precriptive_SchNV,0.0,0.0,3,-25.0,-32.075,39.625,24.25,59.25,60.75,0.0,0.0,13.82,3682.4,5.126827138512698,3.4154730929288224,131174.7589641288,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1800.825835159485,15862.048020000002,7731.816367595495
12,ChicagoIL_BASE_SchNV+ Shd,997.99,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,50.85,4496.86,5.954346272395319,3.993913808833019,148027.18771951305,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35294.23101337478,4475.250000000001,9441.911728977153
13,ChicagoIL_Base Elec_SchNV+ Shd,996.52,118.08,2,-25.0,-32.075,39.625,24.25,66.5,57.0,0.0,0.0,38.99,19938.21,5.954346272395319,3.993913808833019,214960.06566164372,2543.372897239006,0.0,40631.54,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,2381.74,95372.97199601497,51756.8765935246,14360.516111642486,11606.085270000001,41863.615690461695
14,ChicagoIL_DOE Envelope_SchNV+ Shd,541.82,49.3,2,-25.0,-32.075,39.625,24.25,66.0,57.75,0.0,0.0,27.61,13088.85,5.126827138512698,3.4154730929288224,171397.63722584047,1746.2970638761349,0.0,46032.91,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,65483.72877236444,57052.337377838325,8825.309692003557,12554.025705000002,27482.235678634122
15,ChicagoIL_IECC_Elec_SchNV+ Shd,372.35,21.78,2,-25.0,-32.075,39.625,24.25,72.5,49.5,0.0,0.0,25.06,11934.58,5.126827138512698,3.4154730929288224,166247.97998127452,1571.1367145327663,0.0,50450.13,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,2050.73,58915.45751694912,61382.94522097558,7561.677194921173,13329.247815,25058.652233428693
16,ChicagoIL_IECC+0.04_Elec_SchNV+ Shd,2.88,0.0,3,-25.0,-32.075,39.625,24.25,54.75,59.25,6.5,0.0,16.96,5649.65,5.126827138512698,3.4154730929288224,132387.39149101556,1014.9477880541713,0.0,54110.29,4930.83,2400.24,222.97,8640.21,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,38059.14070743967,64971.337377838325,3522.919844762669,13971.605895,11862.387665974873
17,ChicagoIL_Phius Precriptive_SchNV+ Shd,0.0,0.0,3,-25.0,-32.075,39.625,24.25,59.25,60.75,0.0,0.0,13.82,3682.4,5.126827138512698,3.4154730929288224,131174.7589641288,806.6481571165867,0.0,64882.04,8303.62,4392.46,222.97,14046.94,487.74,4724.16,9500.0,1000.0,4596.0,15000.0,2050.73,30248.192147849175,75531.8765935246,1800.825835159485,15862.048020000002,7731.816367595495
18,ChicagoIL_BASE_DC,998.18,118.08,0,-25.0,-32.075,39.625,24.25,143.0,0.0,0.0,0.0,50.85,4496.86,5.954346272395319,42.07654240003549,148051.43033655934,703.2995182885327,1613.9527741179481,0,0,0,0,0,0,0,0,0,0,0,0,86893.76152089139,11922.033456269695,35318.473630421046,4475.250000000001,9441.911728977153
19,ChicagoIL_Base Elec_DC,996.7,118.08,0,-25.0,-32.075,39.625,24.25,143.0,0.0,0.0,0.0,38.99,19938.21,5.954346272395319,41.89287201934879,231602.58306483677,2543.372897239006,0.0,55006.95,3105.75,557.42,222.97,3344.51,487.74,0,9500.0,1000.0,4474.0,15000.0,16757.15,95372.97199601497,65850.41580921087,14386.609844149123,14128.969724999999,41863.615690461695
20,ChicagoIL_DOE Envelope_DC,542.0,49.3,0,-25.0,-32.075,39.625,24.25,158.5,0.0,0.0,0.0,27.61,13088.85,5.126827138512698,32.310625605744505,183989.49790332216,1746.2970638761349,0.0,56906.42,4473.5,2400.24,222.97,4680.31,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,12924.25,65483.72877236444,67712.64129940694,8848.565442916597,14462.32671,27482.235678634122
21,ChicagoIL_IECC_Elec_DC,372.47,21.78,0,-25.0,-32.075,39.625,24.25,156.75,0.0,0.0,0.0,25.06,11934.58,5.126827138512698,25.79762904281598,175823.40548916705,1571.1367145327663,0.0,58718.45,4930.83,2400.24,222.97,8640.21,487.74,1064.0,9500.0,1000.0,4596.0,15000.0,10319.05,58915.45751694912,69489.14129940694,7579.816464382299,14780.337975000002,25058.652233428693
