,Name,1_AT,2_AT,3_AT,4_AT,5_AT,6_AT,7_AT,8_AT,9_AT,10_AT,11_AT,12_AT,1_DP,2_DP,3_DP,4_DP,5_DP,6_DP,7_DP,8_DP,9_DP,10_DP,11_DP,12_DP,1_ST,2_ST,3_ST,4_ST,5_ST,6_ST,7_ST,8_ST,9_ST,10_ST,11_ST,12_ST,1_NR,2_NR,3_NR,4_NR,5_NR,6_NR,7_NR,8_NR,9_NR,10_NR,11_NR,12_NR,1_ER,2_ER,3_ER,4_ER,5_ER,6_ER,7_ER,8_ER,9_ER,10_ER,11_ER,12_ER,1_SR,2_SR,3_SR,4_SR,5_SR,6_SR,7_SR,8_SR,9_SR,10_SR,11_SR,12_SR,1_WR,2_WR,3_WR,4_WR,5_WR,6_WR,7_WR,8_WR,9_WR,10_WR,11_WR,12_WR,1_GR,2_GR,3_GR,4_GR,5_GR,6_GR,7_GR,8_GR,9_GR,10_GR,11_GR,12_GR,HW_1T,HW_2T,CW_1T,HW_1N,HW_2N,CW_1N,HW_1E,HW_2E,CW_1E,HW_1S,HW_2S,CW_1S,HW_1W,HW_2W,CW_1W,HW_1G,HW_2G,CW_1G,Swing_Temp
0,ANNISTON METROPOLITAN AP AL,44.6,50.72,55,64.76,71.8,74.84,76.46,76.46,70.5,59.18,56.8,42.8,39.6,42.08,41.5,55.4,65.3,64.22,71.24,67.28,62.4,47.66,45.1,35.8,27.1,30.56,30.6,46.58,56.5,55.04,62.6,59.18,54.7,35.24,34.7,22.5,6,7.290965171,10.5,12.67993943,15.5,18.70291066,16.80091974,15.5329258,11.7,10.46095003,7.3,6.3,10.5,12.67993943,23.1,20.60490157,25.7,31.69984857,26.31087431,29.16386068,24.4,25.35987885,15.8,14.3,20.9,22.189894,31.4,21.55589703,20.3,20.28790308,19.9709046,25.35987885,30.7,44.06278951,32.3,32.3,11.7,14.58193034,24.7,21.87289551,27.3,29.79785765,27.26186977,26.94487128,26.3,27.57886825,15.8,14.6,17.8,22.189894,39.6,38.67381525,49.8,59.27871682,51.03675619,51.98775165,44.1,42.79479557,25.4,21.6,33.6,45.9,78.8,8.2,5.1,22.2,15.2,6,41.5,31.4,6,39.3,18.4,5.1,45.3,25.7,9.8,81.8,18.18
1,AUBURN-OPELIKA APT AL,41.9,48.2,50.7,62.78,67.6,74.84,74.48,75.02,71.1,62.6,56.3,48.6,28.9,34.88,36.3,43.7,55,68.54,69.08,67.28,62.4,46.04,43,36.1,14.7,22.28,24.4,34.16,44.8,58.28,59,57.38,53.1,34.34,34.5,23.9,7.6,7.607963656,10.5,13.3139364,16.8,18.38591217,17.43491671,14.89892883,12.4,10.46095003,7.6,7,14.9,13.3139364,20,32.33384554,31.1,29.48085917,30.74885311,30.74885311,25.4,25.67687734,18.1,16.8,32,28.8468622,28.5,29.16386068,23.1,19.9709046,21.55589703,27.89586674,33.3,43.74579102,39.6,39.9,15.8,19.9709046,23.5,32.65084402,36.8,35.18683191,33.60183948,34.55283494,29.2,27.26186977,19.3,17.4,24.4,27.26186977,37.1,56.42573045,64.7,64.98468956,63.08269865,62.13170319,49.5,43.11179405,29.8,25.7,23.5,38.3,74.8,10.5,7.9,17.4,26,8.2,40.9,53.3,9.5,44.1,26.3,7.9,49.1,42.8,15.8,84,15.12
2,BIRMINGHAM MUNICIPAL AP AL,41.9,48.02,54.7,64.22,70.2,76.64,80.24,78.98,73.4,60.8,55.6,45.5,31.8,32.72,39.6,50,57.6,67.82,71.42,68.54,63.3,50.72,46.8,33.4,13.6,10.22,23.2,29.84,45.7,56.48,59.9,52.7,43.3,34.7,25.2,17.1,7.6,8.558959113,11.7,13.3139364,19,19.9709046,19.65390611,15.84992428,11.7,9.826953056,7.3,6.7,21.9,24.09188491,30.4,36.45482585,39,38.99081374,40.57580617,36.77182434,32.3,29.79785765,20.3,20.9,33.3,32.65084402,33.6,28.21286523,22.2,19.33690763,21.23889854,25.99387583,30.1,38.67381525,34.9,37.7,12.7,15.84992428,20.9,25.04288037,26.6,25.99387583,24.09188491,25.04288037,20.3,19.01990914,13.6,12.4,24.4,29.79785765,42.8,52.62174862,56.7,58.01072288,57.05972742,55.15773651,43.4,38.67381525,26.6,24.1,30.9,43.7,80.1,13.6,9.5,30.1,44.1,18.4,66.9,62.4,28.8,28.2,25,13.9,39.6,45.3,26.6,92.6,18.54
3,DOTHAN MUNICIPAL AP AL,44.6,49.82,61.2,64.4,77.4,78.26,79.88,78.98,78.4,66.92,59,47.1,29.7,35.24,52.3,49.46,61,68.54,70.88,72.86,71.6,52.34,47.3,35.6,13.6,23.9,42.3,40.28,52.7,60.44,62.96,66.74,66.2,41.18,39.2,22.8,7.6,8.241960628,11.4,13.94793337,18.4,17.7519152,17.43491671,13.94793337,11.1,10.77794851,7.6,7,19.7,21.23889854,22.5,31.69984857,35.2,28.8468622,30.74885311,25.99387583,20.6,27.57886825,18.4,18.1,44.4,37.7228198,28.8,28.21286523,23.5,17.43491671,19.9709046,22.189894,22.2,45.01378497,39.6,43.7,21.2,22.50689248,25.4,32.33384554,34.9,28.52986371,29.79785765,22.82389097,20.6,27.89586674,19.7,19.3,31.1,34.86983342,41.2,57.37672591,66.3,54.84073802,60.22971228,47.23277437,36.5,45.96478042,30.7,28.5,34.2,49.6,80.4,11.1,7.3,23.8,27.6,15.2,48.5,60.5,29.2,30.1,32.3,13.9,42.8,44.1,22.8,91.6,17.28
4,CAIRNS FIELD FORT RUCKER AL,45.5,51.8,54.9,62.6,74.1,77.36,79.52,77.72,74.3,62.24,54.7,48.6,35.4,41.36,42.8,47.3,68.9,68.9,73.76,70.52,66.6,48.92,45.7,39.6,19.4,28.4,30.7,37.4,61,60.26,64.94,61.7,57.6,37.22,37,26.2,7.9,8.241960628,11.1,13.3139364,15.2,18.06891368,17.7519152,15.84992428,12.7,10.46095003,7.3,7,19.3,18.38591217,25,31.38285008,23.1,29.48085917,29.79785765,29.16386068,26.3,25.99387583,15.8,14.9,40.6,34.55283494,32,28.21286523,18.1,18.06891368,20.28790308,24.4088834,30.4,42.1607986,32,33.3,20,20.28790308,24.1,32.33384554,22.2,27.89586674,27.89586674,29.48085917,25.7,26.6278728,15.8,15.2,28.8,32.01684705,42.2,56.10873197,44.4,55.79173348,56.42573045,53.88974257,46.9,43.11179405,26,24.1,28.2,48,81.5,11.4,5.7,26,31.4,5.7,43.7,61.8,6.7,28.5,32.7,7,42.8,49.5,11.4,85.3,17.64
5,GADSEN MUNI (AWOS) AL,40.3,47.3,55.2,61.16,64.8,73.58,77.36,76.46,70.7,59.9,53.4,39.7,30.6,37.04,45.1,50.54,53.1,64.22,68.9,67.28,59.5,50.9,42.1,27.5,14,24.26,34,40.82,42.1,55.58,59.9,61.34,52.7,39.38,30.9,12.7,7,7.607963656,10.5,12.99693791,17.1,17.43491671,17.7519152,14.26493186,11.7,9.826953056,7.3,6.7,11.1,11.41194548,16.5,19.9709046,25,22.50689248,24.72588188,19.65390611,17.1,14.89892883,10.5,10.5,22.2,19.33690763,20,19.65390611,19.7,17.7519152,19.01990914,18.70291066,19.7,22.50689248,20.3,22.5,13.6,13.63093488,19,22.82389097,27.6,24.4088834,26.94487128,23.45788794,19.7,17.43491671,13.6,13.6,16.8,18.70291066,26.9,33.60183948,42.2,40.25880768,43.11179405,35.5038304,28.8,24.4088834,17.4,15.5,30.9,37.9,80.1,10.8,8.9,25.7,15.2,12.7,39.3,28.8,20,28.2,17.4,12.4,38.4,21.2,18.1,64,20.16
6,HUNTSVILLE INTL/JONES FIELD AL,36.5,42.8,52.3,59.72,69.1,77.54,78.62,76.64,72.1,58.1,53.4,41.7,26.6,32.54,41,45.86,57.6,65.3,68,68,60.8,47.48,44.8,30.7,5.9,14.36,23.4,25.88,45.9,55.04,56.3,52.34,41.4,31.82,24.3,13.3,8.6,8.241960628,11.1,13.3139364,17.4,19.33690763,19.33690763,15.21592731,11.7,9.50995457,7,6.3,24.4,20.28790308,30.1,34.23583645,38,37.08882282,41.20980314,37.40582131,29.8,28.21286523,20,20,36.8,30.74885311,32,27.57886825,22.2,20.60490157,22.189894,26.94487128,29.2,37.40582131,34.9,35.8,13.6,15.5329258,19.3,23.77488643,24.7,27.26186977,26.6278728,25.99387583,20.9,18.06891368,13,11.7,24.1,26.31087431,39.6,50.08576074,55.2,59.91271379,60.86370925,56.42573045,41.8,37.08882282,25.4,22.5,13.6,29.5,81.9,13.3,11.4,27.9,36.1,23.1,66.3,55.8,26.9,28.5,26.3,12.4,36.8,38.7,24.1,89.7,19.26
7,MAXWELL AFB AL,43.9,50.54,54,63.14,74.1,79.52,82.04,80.24,76.1,64.04,52.3,47.1,32.4,36.5,39.7,47.84,61.3,69.98,73.58,69.8,64.9,51.44,42.3,36.1,16.2,24.26,27.7,37.04,52.9,61.88,65.66,62.24,56.8,40.46,30.6,23,7.3,7.924962142,11.4,13.63093488,17.4,17.7519152,18.06891368,15.21592731,12.7,10.46095003,7.3,6.7,18.7,16.80091974,25.4,28.52986371,31.7,28.52986371,29.79785765,28.8468622,26,25.04288037,15.5,14.3,41.5,29.16386068,33,26.94487128,22.2,18.38591217,20.92190005,25.35987885,31.7,43.11179405,33.6,32.7,19.7,17.7519152,24.1,30.74885311,32.7,27.57886825,28.8468622,28.8468622,25.7,26.6278728,16.8,14.6,28.2,27.26186977,42.5,52.30475014,60.2,53.88974257,56.74272894,53.88974257,47.2,43.11179405,26.3,22.8,25.2,51.4,82.9,13,7.6,26.9,34.2,7.9,46,60.9,17.8,30.4,30.7,13,42.2,46,18.4,91,17.82
8,MOBILE DOWNTOWN AP AL,54.1,54.5,56.5,65.66,76.1,77.72,80.24,81.86,77,67.46,59,50.9,48.2,47.48,47.3,56.48,67.8,66.56,74.12,72.32,67.5,55.04,50.2,40.3,33.4,36.14,36.1,45.68,60.6,57.2,64.76,64.22,58.6,45.14,39.6,27.1,7.6,7.290965171,10.8,14.26493186,17.1,19.65390611,18.38591217,15.21592731,12.4,11.094947,8.2,7.6,18.4,15.21592731,23.8,31.69984857,28.5,34.86983342,33.91883797,32.01684705,28.5,26.6278728,20.9,16.8,37.4,25.67687734,31.4,27.57886825,20.3,18.38591217,19.33690763,25.04288037,30.1,43.74579102,46.3,37.1,19.7,16.80091974,26.3,33.284841,30.7,32.96784251,30.74885311,30.43185463,26.6,28.52986371,23.5,17.8,27.6,25.67687734,43.1,57.37672591,55.5,64.03369411,60.54671076,58.96171834,47.9,45.64778194,35.2,26.3,36.5,52.5,83.1,10.5,7.6,20.9,34.6,13.9,40.6,79.2,23.1,32.7,33.9,13,37.1,48.5,20.6,75.1,16.56
9,MOBILE REGIONAL AP AL,46.8,53.42,61,67.28,73.8,79.52,80.6,79.52,77.4,66.74,59,54,38.5,44.06,51.3,53.6,65.1,71.24,72.32,71.6,66.2,57.92,50.4,42.3,23.2,29.48,39.6,42.98,55.2,62.6,65.84,65.3,58.5,47.84,39.6,29.1,7.6,8.558959113,11.4,13.3139364,16.8,18.06891368,16.80091974,14.58193034,11.7,9.50995457,7.6,7.6,17.8,16.16692277,25.4,28.8468622,30.4,31.69984857,29.16386068,29.16386068,27.6,23.77488643,17.8,16.5,36.1,29.16386068,33.3,26.6278728,20.3,17.43491671,18.70291066,23.45788794,29.8,37.40582131,34.9,34.9,17.8,19.65390611,27.3,30.43185463,30.7,28.21286523,28.21286523,28.52986371,26.3,23.77488643,17.8,16.2,27.3,29.79785765,45.6,53.25574559,56.7,57.05972742,56.10873197,53.88974257,46.9,39.62481071,28.5,26,32.7,54,81.3,10.5,8.6,23.1,24.1,10.5,45,57.4,17.1,29.2,27.6,11.4,42.2,39.3,19.7,88.8,16.56
